https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AAVE,Volume BTC
1651183200,2022-04-28 22:00:00,AAVE/BTC,0.00415922,0.00415922,0.00415922,0.00415922,0.00000000,0.0
1651179600,2022-04-28 21:00:00,AAVE/BTC,0.00415922,0.00415922,0.00415922,0.00415922,12.60139298,0.0524119657102756
1651176000,2022-04-28 20:00:00,AAVE/BTC,0.00420000,0.00420000,0.00420000,0.00420000,0.00000000,0.0
1651172400,2022-04-28 19:00:00,AAVE/BTC,0.00420000,0.00420000,0.00420000,0.00420000,0.00000000,0.0
1651168800,2022-04-28 18:00:00,AAVE/BTC,0.00420000,0.00420000,0.00420000,0.00420000,0.00000000,0.0
1651165200,2022-04-28 17:00:00,AAVE/BTC,0.00420000,0.00420000,0.00420000,0.00420000,0.47619048,0.002000000016
1651161600,2022-04-28 16:00:00,AAVE/BTC,0.00444262,0.00444262,0.00444262,0.00444262,0.00000000,0.0
1651158000,2022-04-28 15:00:00,AAVE/BTC,0.00444262,0.00444262,0.00444262,0.00444262,0.00000000,0.0
1651154400,2022-04-28 14:00:00,AAVE/BTC,0.00444262,0.00444262,0.00444262,0.00444262,0.00000000,0.0
1651150800,2022-04-28 13:00:00,AAVE/BTC,0.00444262,0.00444262,0.00444262,0.00444262,0.00000000,0.0
1651147200,2022-04-28 12:00:00,AAVE/BTC,0.00444262,0.00444262,0.00444262,0.00444262,0.00000000,0.0
1651143600,2022-04-28 11:00:00,AAVE/BTC,0.00444262,0.00444262,0.00444262,0.00444262,0.00000000,0.0
1651140000,2022-04-28 10:00:00,AAVE/BTC,0.00444262,0.00444262,0.00444262,0.00444262,0.00000000,0.0
1651136400,2022-04-28 09:00:00,AAVE/BTC,0.00444262,0.00444262,0.00444262,0.00444262,0.00000000,0.0
1651132800,2022-04-28 08:00:00,AAVE/BTC,0.00444262,0.00444262,0.00444262,0.00444262,0.00000000,0.0
1651129200,2022-04-28 07:00:00,AAVE/BTC,0.00444262,0.00444262,0.00444262,0.00444262,0.00000000,0.0
1651125600,2022-04-28 06:00:00,AAVE/BTC,0.00444262,0.00444262,0.00444262,0.00444262,0.00000000,0.0
